px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
1.54329	-0.135454	0.880938	3.07814e-17	-4.17406e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
1.54329	-0.135454	0.880938	1.53907e-17	4.15976e-17	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	1.13815
3.84122	-0.134296	3.18226	-0.00411495	0.00201268	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0
3.84122	-0.134296	3.18226	-0.00411495	0.00201268	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	5.12468
6.81538	0.387978	4.29264	-1.23244	0.486005	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0
6.81538	0.387978	4.29264	-1.23244	0.486005	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	5.04592
9.10036	0.547761	2.72286	0.0189187	0.81927	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0
9.10036	0.547761	2.72286	0.0189187	0.81927	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	4.73631
11.5679	1.66505	2.91949	0.826758	0.808762	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0
11.5679	1.66505	2.91949	0.826758	0.808762	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.0647119
13.5466	2.40694	1.33585	0.923845	0.396514	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0
13.5466	2.40694	1.33585	0.923845	0.396514	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	10.4942
16.2708	3.05589	1.65131	-0.265701	-0.537403	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0
16.2708	3.05589	1.65131	-0.265701	-0.537403	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	46.7169
18.8777	3.5419	2.25657	0.541679	0.208559	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0
18.8777	3.5419	2.25657	0.541679	0.208559	19.363	3.87122	18.923	3.74161	2.61382	0.95648	18.73
21.2889	4.74101	2.8327	0.491693	0.0640976	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0
21.2889	4.74101	2.8327	0.491693	0.0640976	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.4021
24.0613	5.59524	2.88831	0.275712	-0.0986008	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0
24.0613	5.59524	2.88831	0.275712	-0.0986008	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	0.930307
26.6152	6.92315	2.86617	0.49456	0.0973335	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0
26.6152	6.92315	2.86617	0.49456	0.0973335	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	1.32322
29.5574	8.1042	3.22101	0.371213	-0.0402176	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0
29.5574	8.1042	3.22101	0.371213	-0.0402176	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.939238
31.9676	9.84952	2.92389	0.653021	0.158253	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0
31.9676	9.84952	2.92389	0.653021	0.158253	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	1.61077
34.5847	10.7578	2.58969	0.34559	-0.135725	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	0
34.5847	10.7578	2.58969	0.34559	-0.135725	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	3.50031
37.1367	12.0473	2.90687	0.466435	0.0245324	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0
37.1367	12.0473	2.90687	0.466435	0.0245324	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.17692
40.2959	13.4615	3.57303	0.407514	-0.0284113	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0
40.2959	13.4615	3.57303	0.407514	-0.0284113	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0.992107
42.8017	14.8316	2.85917	0.489429	0.0392569	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0
42.8017	14.8316	2.85917	0.489429	0.0392569	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	1.19584
45.3538	16.5321	3.13115	0.636236	0.108302	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0
45.3538	16.5321	3.13115	0.636236	0.108302	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.334518
48.1348	17.3406	2.68262	0.279996	-0.17797	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0
48.1348	17.3406	2.68262	0.279996	-0.17797	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	3.41695
50.6299	18.9913	2.86883	0.637272	0.160406	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	0
50.6299	18.9913	2.86883	0.637272	0.160406	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	4.45665
53.6746	19.9477	3.02528	0.23855	-0.181496	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	0
53.6746	19.9477	3.02528	0.23855	-0.181496	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	4.3366
56.0591	21.0562	2.57749	0.374829	0.0121996	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	0
56.0591	21.0562	2.57749	0.374829	0.0121996	55.867	20.985	55.9669	20.9874	2.56561	0.978022	1.81483
58.6488	21.7974	2.74505	0.257022	-0.0692207	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0
58.6488	21.7974	2.74505	0.257022	-0.0692207	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.310032
60.8914	22.7655	2.44746	0.391108	0.0528153	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0
60.8914	22.7655	2.44746	0.391108	0.0528153	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.729212
63.3643	23.4307	2.59233	0.249597	-0.0661659	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0
63.3643	23.4307	2.59233	0.249597	-0.0661659	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	0.585168
66.3162	23.9952	3.09905	0.144003	-0.0881607	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	0
66.3162	23.9952	3.09905	0.144003	-0.0881607	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	0.538002
68.3128	24.356	2.01764	0.121588	-0.0485593	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0
68.3128	24.356	2.01764	0.121588	-0.0485593	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	2.42029
70.8029	24.8544	2.6056	0.218792	0.0414013	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0
70.8029	24.8544	2.6056	0.218792	0.0414013	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	1.04496
72.9099	24.7513	2.04881	-0.0244041	-0.121104	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0
72.9099	24.7513	2.04881	-0.0244041	-0.121104	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	1.54187
74.9949	25.1994	2.09858	0.208007	0.0918543	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0
74.9949	25.1994	2.09858	0.208007	0.0918543	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	1.83874
77.1101	24.9863	2.05523	-0.114374	-0.144626	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0
77.1101	24.9863	2.05523	-0.114374	-0.144626	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	2.05385
79.1047	25.0045	2.01609	-0.0374354	-0.0176104	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	0
79.1047	25.0045	2.01609	-0.0374354	-0.0176104	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.614658
80.8197	24.8725	1.75503	-0.0872275	-0.034872	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0
80.8197	24.8725	1.75503	-0.0872275	-0.034872	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	0.149478
82.6169	24.6439	1.86499	-0.147474	-0.0490976	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0
82.6169	24.6439	1.86499	-0.147474	-0.0490976	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.0323778
84.1833	24.5347	1.59642	-0.0988124	0.00472695	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0
84.1833	24.5347	1.59642	-0.0988124	0.00472695	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.251319
85.6448	23.867	1.56916	-0.450462	-0.192263	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0
85.6448	23.867	1.56916	-0.450462	-0.192263	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	1.54422
86.9354	23.4892	1.3307	-0.397611	-0.0613072	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0
86.9354	23.4892	1.3307	-0.397611	-0.0613072	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	0.754241
88.7851	22.7882	2.06979	-0.358863	-0.0124777	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0
88.7851	22.7882	2.06979	-0.358863	-0.0124777	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	1.20007
89.5528	22.2967	0.872767	-0.475941	-0.0663596	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	0
89.5528	22.2967	0.872767	-0.475941	-0.0663596	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	2.99032
90.5095	21.6901	1.17738	-0.604195	-0.0994015	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0
90.5095	21.6901	1.17738	-0.604195	-0.0994015	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	0.252307
91.6935	21.0982	1.3689	-0.486287	0.00539651	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0
91.6935	21.0982	1.3689	-0.486287	0.00539651	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	0.42066
92.8522	20.9142	1.12745	-0.199783	0.142843	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0
92.8522	20.9142	1.12745	-0.199783	0.142843	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	0.813357
93.4956	20.2954	0.752063	-0.526626	-0.0953127	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	0
93.4956	20.2954	0.752063	-0.526626	-0.0953127	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	2.57482
95.2278	19.6146	1.95415	-0.238417	0.0965347	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	0
95.2278	19.6146	1.95415	-0.238417	0.0965347	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	4.70135
95.58	19.6724	0.286236	-0.0775044	0.13998	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	0
95.58	19.6724	0.286236	-0.0775044	0.13998	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	5.67206
96.2469	19.3584	0.689626	-0.283733	-0.0191747	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0
96.2469	19.3584	0.689626	-0.283733	-0.0191747	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	4.80343
97.5048	18.7794	1.49453	-0.607133	-0.149276	97.5286	18.727	97.45	18.506	0.868716	-0.503009	0
97.5048	18.7794	1.49453	-0.607133	-0.149276	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	1.75103
98.2307	18.3481	0.854848	-0.660595	-0.110251	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0
98.2307	18.3481	0.854848	-0.660595	-0.110251	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.866174
99.0475	17.4033	1.31262	-0.950082	-0.200878	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	0
99.0475	17.4033	1.31262	-0.950082	-0.200878	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0.846935
99.9631	16.9446	0.886501	-0.684438	0.0204638	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	0
99.9631	16.9446	0.886501	-0.684438	0.0204638	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	1.77361
101.144	16.4902	1.2473	-0.282458	0.201731	101.204	16.5368	101.065	16.497	0.991362	-0.513687	0
101.144	16.4902	1.2473	-0.282458	0.201731	101.169	16.4353	101.065	16.497	0.991362	-0.513687	1.76916
102.382	16.3866	1.29887	0.0292258	0.253546	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0
102.382	16.3866	1.29887	0.0292258	0.253546	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	0.0897717
103.024	15.4748	0.494723	-0.523036	-0.143363	103.003	15.353	103.119	15.4967	1.11708	-0.508169	0
103.024	15.4748	0.494723	-0.523036	-0.143363	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	7.16076
104.02	15.1755	1.06577	-0.300403	0.0377673	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	0
104.02	15.1755	1.06577	-0.300403	0.0377673	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	3.21435
105.515	14.4818	1.79749	-0.528505	-0.0840947	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	0
105.515	14.4818	1.79749	-0.528505	-0.0840947	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	1.50544
106.837	14.0215	1.40169	-0.405244	0.0114466	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0
106.837	14.0215	1.40169	-0.405244	0.0114466	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	0.615104
108.08	13.6432	1.32501	-0.295128	0.0655399	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0
108.08	13.6432	1.32501	-0.295128	0.0655399	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0.124607
109.519	13.5413	1.46811	-0.0105633	0.178368	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0
109.519	13.5413	1.46811	-0.0105633	0.178368	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0.495433
111.052	12.6822	1.54051	-0.549498	-0.187667	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	0
111.052	12.6822	1.54051	-0.549498	-0.187667	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	4.84821
112.852	12.4175	1.69524	-0.117548	0.141211	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	0
112.852	12.4175	1.69524	-0.117548	0.141211	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	3.99947
114.786	12.5338	1.99823	0.162527	0.211084	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0
114.786	12.5338	1.99823	0.162527	0.211084	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0.362184
116.681	12.1672	1.77768	-0.123868	-0.0597725	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	0
116.681	12.1672	1.77768	-0.123868	-0.0597725	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	2.66116
118.924	11.9878	2.33864	-0.0833328	0.000701245	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0
118.924	11.9878	2.33864	-0.0833328	0.000701245	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0.768708
120.719	12.2646	1.79164	0.135026	0.123194	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0
120.719	12.2646	1.79164	0.135026	0.123194	120.934	12.1905	120.743	12.3289	2.21139	0.128528	1.10566
123.514	12.8189	2.97771	0.265262	0.124517	123.568	12.8297	122.95	12.5114	2.29835	0.246599	0
123.514	12.8189	2.97771	0.265262	0.124517	123.142	12.7694	122.95	12.5114	2.29835	0.246599	2.84023
124.961	12.8182	1.31964	0.188142	0.0101831	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0
124.961	12.8182	1.31964	0.188142	0.0101831	125.376	12.9964	125.242	12.8125	2.37624	0.369827	5.97359
