px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.04035	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.44647	0.251376	-3.03651	-0.000681892	-2.98284e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0
8.46654	0.249542	-2.55317	-0.0109429	-0.00199785	8.56759	0.241943	8.45	0.25	0	0	0.98173
8.4224	0.252802	-2.49285	-0.0167746	-0.0025966	8.45582	0.253997	8.45	0.25	0	0	0
8.32877	0.253184	-2.54646	-0.00885075	-0.000300183	8.42544	0.254042	8.35	0.25	-1.81979	0	0.120623
8.22727	0.251069	-2.53115	0.00430451	0.00309457	8.23962	0.24916	8.25	0.25	-1.81978	0	0
7.99024	0.227563	-3.64637	0.0706301	0.048647	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	5.62838
7.83037	0.17933	-3.6361	0.146047	0.0936009	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0
7.66688	0.144446	-3.55254	0.176239	0.142598	7.61269	0.155818	7.7	0.15	-2.99982	0	0.148571
7.50804	0.139011	-3.52904	0.145381	0.0967461	7.54016	0.159641	7.55	0.15	-2.99982	0	0
7.42022	0.0611718	-2.80676	0.292278	0.536453	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	10.1461
7.29109	0.0237775	-2.78199	0.31162	0.520228	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0
7.13669	0.000237102	-2.88188	0.272154	0.318237	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.39968
7.00196	-0.0487148	-2.86653	0.298985	0.337951	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0
6.9059	-0.151036	-2.50664	0.489719	0.818038	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	4.4858
6.80159	-0.236748	-2.51121	0.566226	0.883087	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0
6.69218	-0.306387	-2.55562	0.592971	0.831029	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.114246
6.60002	-0.410866	-2.59459	0.679132	0.911862	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0
6.55845	-0.574438	-2.46851	0.957126	1.43086	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.00078
6.5047	-0.668549	-2.4345	1.02449	1.42495	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0
6.46187	-0.833827	-2.49049	1.21496	1.65262	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.882416
6.42719	-0.990029	-2.55437	1.32948	1.68395	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0
6.32694	-1.01887	-2.26757	1.15662	1.14621	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	8.94509
6.27294	-1.16626	-2.36625	1.22652	1.14698	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0
6.35482	-1.39691	-2.4855	1.60579	1.78674	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	24.7867
6.36224	-1.56883	-2.5997	1.70911	1.78699	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0
6.31565	-1.59608	-1.99204	1.62707	1.40947	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	12.1571
6.30131	-1.76399	-2.19107	1.67499	1.35912	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0
6.34029	-1.95233	-2.57988	1.80481	1.50342	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	5.09084
