px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	6.95327e-310
0.0272407	-0.0272407	0	0	0	0	0	0	0	0	0	1.76399
1.5495	-0.128195	2.43214	2.77556e-17	2.82314e-33	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.728519
1.61902	0.0209099	2.74048	-0.0139535	-0.0119104	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	2.10111
3.88577	-0.132426	4.06019	-0.164755	-0.0194015	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0.350208
3.95372	0.0730343	3.7786	0.00778742	-0.0492297	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.01895
6.85678	0.409195	5.18882	0.62242	0.464727	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0.812807
6.77231	0.436964	5.06501	0.652308	0.475671	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.66222
9.07424	2.14986	5.94062	0.953642	0.154271	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.353375
9.06076	0.612746	6.12961	0.501339	0.257982	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	0.803864
11.5309	-16.4208	14.151	3.09845	-3.62534	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.944752
11.174	120.226	4.69859	-0.334279	-2.23989	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	13.62
13.5618	109.406	-24.6145	-3.08395	20.8098	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	1950.82
13.5629	2.91419	-7.51609	-0.130625	12.9064	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	9.32991
16.6359	2.89357	26.254	11.9739	-5.2724	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	1.41602
16.5656	2.88311	26.1849	11.9889	-5.29305	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.14395
18.976	68.0851	99.3157	-13.2739	-23.2469	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	-44.6006
24.0499	5.53798	-97.9417	63.6712	-8.35582	19.363	3.87122	18.923	3.74161	2.61382	0.95648	31.7217
21.3309	4.21747	-22.5251	55.0857	42.8804	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	5.39028
21.3196	4.81826	22.0649	55.0203	70.064	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.67927
24.0068	7.9013	-612.061	128.94	-353.21	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	8.26065
24.0591	6.60407	-602.991	129.309	-344.992	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	2.49908
26.6034	1.97805	-609.867	-215.285	-243.838	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	-1.04579
26.6046	6.66291	-670.435	-215.115	-441.24	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	2.12197
29.586	9.44533	-675.905	-656.431	-549.195	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	102.653
29.5534	8.0826	-699.434	-656.836	-542.857	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.615779
31.9242	5.83067	-652.091	-1198.45	-433.147	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.84921
31.9002	9.46106	-588.863	-1198.87	-402.122	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.999252
34.6399	9.73816	-797.369	-1598.67	-242.764	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	-6.06693
34.6882	11.2828	-822.066	-1598.39	-218.153	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	1.28957
37.141	32.2112	-962.279	-1820.54	-431.859	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	1.28158
37.1401	-98.9341	-41.1431	-1820.98	586.452	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.5944
40.1496	-73.6956	210.011	-1237.83	-218.283	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	3106.2
40.6172	-24.4563	-3415.15	-1243.74	12810.3	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1403.23
42.7716	-22.9527	-3139.27	11565.6	1154.44	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	6258.29
42.3924	-22.3468	-2308.79	11566.1	-16013.6	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	866.165
45.2793	-19.838	-2288.96	-4450.22	-37062.3	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	712.414
45.7475	-11.4401	-516.884	-4446.85	-78326.6	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	485.537
47.0682	-14.1639	382.165	-82782.5	-93816.1	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	619.135
47.2456	-14.0001	243.195	-82783.4	-99923.2	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	495.048
50.184	-11.9129	190.343	-182711	-103264	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	13237.5
50.634	-11.6499	159.708	-182712	-104000	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	433.082
53.5287	-10.9958	30.1487	-286713	-107630	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	25618.5
54.0519	-10.836	-219.633	-286714	-110005	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	396.526
56.0065	-10.3058	-217.02	-396719	-110085	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	30774.8
56.5804	-10.1607	-194.817	-396720	-109765	55.867	20.985	55.9669	20.9874	2.56561	0.978022	389.576
58.3711	-9.19447	-348.955	-506485	-113281	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	25410.9
58.9855	-8.88002	-427.859	-506485	-115099	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	403.801
60.1667	-9.16967	-379.531	-621584	-113907	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	10911.4
60.7214	-9.33522	-330.583	-621584	-113469	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	438.386
61.8455	-9.32207	-204.919	-735044	-111660	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	17263.5
62.3899	-9.83303	33.5338	-735046	-109823	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	588.276
63.3945	-10.0407	676.669	-844885	-104386	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	25212.4
64.1054	-10.579	852.731	-844890	-104729	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	623.079
66.3184	-11.5643	906.499	-949611	-103752	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	10439.7
67.1317	-11.2095	708.38	-949613	-108770	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	598.762
70.8328	-12.6855	681.535	-1.05838e+06	-109139	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	28800.7
71.3815	-12.7949	649.202	-1.05838e+06	-105943	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	371.453
72.0297	-12.9596	631.409	-1.16433e+06	-104136	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	622.269
72.4074	-12.9357	647.505	-1.16433e+06	-104914	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	452.918
74.9086	-12.2523	639.674	-1.26924e+06	-104968	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	28974.3
75.5296	-12.1118	644.663	-1.26924e+06	-105028	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	351.226
76.897	-13.4205	3898.34	-1.37428e+06	-120068	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	41099.9
77.4503	-13.6859	2313.25	-1.37428e+06	-1.68436e+06	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	355.667
78.2504	-12.5916	1984.64	-3.05863e+06	-3.49526e+06	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	756.929
78.6368	-12.5374	2472.47	-3.05863e+06	-4.52482e+06	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	380.961
79.3571	-13.0396	3833.96	-7.58344e+06	-6.15434e+06	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	2394.21
79.6855	-13.168	4170.18	-7.58344e+06	-8.46077e+06	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	438.58
81.5205	-12.2231	4546.27	-1.60442e+07	-1.00215e+07	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	12459.8
81.7899	-11.8581	3050.53	-1.60442e+07	-7.41709e+06	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	359.452
83.7115	-13.488	2568.87	-2.34613e+07	-6.52218e+06	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	15052.7
84.1093	-13.6515	2820.07	-2.34613e+07	-9.94911e+06	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	298.563
85.0515	-13.4417	2913.71	-3.34104e+07	-1.10254e+07	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	12044.4
