px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0.0272407	-0.0272407	0	0	0	0	0	0	0	0	0	1.76399
0.0272407	-0.0272407	-2.13845e-17	3.07913e-17	-4.16334e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
1.3755	0.77191	1.19472	2.22609e-16	1.4762e-16	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	8.75887
1.92767	0.791977	1.19472	6.33174e-16	3.1225e-16	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0
3.50452	-0.216831	2.70314	-0.161661	0.335216	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	2.86031
3.43598	-0.0948796	2.70314	0.173556	0.335216	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0
4.2143	1.67079	3.10969	0.492276	0.284865	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	0.904178
4.47933	2.16663	3.10969	0.777141	0.284865	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0
6.91462	2.998	4.32959	-2.98093	-1.48964	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	8.74522
7.83695	2.51948	4.32959	-4.47057	-1.48964	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0
10.9678	1.62865	6.2272	-0.371727	-4.16899	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	9.47668
9.949	1.29066	6.2272	-4.54071	-4.16899	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0
13.1907	2.17258	11.777	-0.649483	-2.05838	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	23.5413
12.2356	-0.310628	11.777	-2.70787	-2.05838	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0
14.0026	1.67907	12.3866	1.32352	-3.13672	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	2.42156
20.7672	0.90006	12.3866	-1.8132	-3.13672	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0
19.4278	3.65616	12.3048	0.0420024	-3.83137	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.66573
17.7636	-1.8653	12.3048	-3.78937	-3.83137	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0
21.8712	3.49691	10.5534	-1.03393	-3.6427	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	10.7159
16.529	1.89292	10.5534	-4.67663	-3.6427	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0
24.4971	4.31842	11.3101	-0.956252	-2.99467	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	23.0037
18.7819	-0.518428	11.3101	-3.95093	-2.99467	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0
26.4025	5.5095	11.6878	-1.19558	-3.14763	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	18.5514
19.5907	2.86824	11.6878	-4.3432	-3.14763	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0
28.9173	7.12705	15.5091	-1.12761	-2.80691	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	37.5444
20.0677	0.899506	15.5091	-3.93453	-2.80691	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0
31.7709	8.58349	17.586	-1.36013	-3.14014	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	18.2814
20.9695	6.26687	17.586	-4.50027	-3.14014	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	0
34.4109	11.0395	20.2509	-1.09374	-2.66421	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	26.572
23.3539	1.34126	20.2509	-3.75795	-2.66421	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0
37.773	12.3739	19.0074	-1.27179	-3.28948	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	13.6005
26.7148	9.82749	19.0074	-4.56126	-3.28948	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0
39.5088	13.7539	19.6125	-1.05238	-2.85203	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	9.20239
28.8865	5.34443	19.6125	-3.90441	-2.85203	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0
42.5155	14.6739	20.5375	-1.22112	-3.12193	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	13.7418
30.343	10.097	20.5375	-4.34305	-3.12193	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0
45.0252	16.6296	23.1634	-1.08264	-2.74401	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	22.5176
32.3142	6.133	23.1634	-3.82665	-2.74401	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0
48.2366	17.3933	23.0036	-1.25699	-3.26387	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	9.52894
34.7862	13.9082	23.0036	-4.52087	-3.26387	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	0
50.1563	18.9844	23.7713	-1.06698	-2.84113	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	9.40778
37.1369	8.8816	23.7713	-3.90811	-2.84113	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	0
53.5304	19.7909	24.2227	-1.22148	-3.12455	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	11.7553
39.1587	14.4121	24.2227	-4.34603	-3.12455	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	0
55.2936	21.4105	25.9532	-1.09592	-2.83627	55.867	20.985	55.9669	20.9874	2.56561	0.978022	11.1431
40.7409	10.7744	25.9532	-3.93218	-2.83627	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0
58.5263	22.195	26.7149	-1.2064	-3.11129	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	10.5609
42.7155	15.8854	26.7149	-4.31769	-3.11129	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0
